SalePrice,PriceRange,YearBuilt,YrSold,MonthSold,Size(sqf),Floor,HallwayType,HeatingType,AptManageType,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_manager,N_elevators,SubwayStation,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(Park),N_SchoolNearBy(Elementary),N_SchoolNearBy(Middle),N_SchoolNearBy(High),N_SchoolNearBy(University),N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total)
396460,390000-400000,2006,2016,7,1412,2,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,,,,,,,,,,,
291150,290000-300000,2006,2016,7,818,12,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,5,11,Sin-nam,1,1,,,,,,,,,,,
446902,440000-450000,2014,2016,7,1252,12,terraced,individual_heating,management_in_trust,467,203,0~5min,0-5min,5,5,12,Banwoldang,0,0,,,,,,,,,,,
325663,320000-330000,2014,2016,7,843,27,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
235398,230000-240000,2005,2016,7,743,5,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
79646,70000-80000,1992,2016,7,355,13,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,,,,,,,,,,,
159292,148000-168000,1992,2016,7,644,8,mixed,individual_heating,self_management,142,79,5min~10min,15min~20min,3,4,8,Myung-duk,5,1,,,,,,,,,,,
119469,100000-125000,1992,2016,7,640,1,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,,,,,,,,,,,
367256,360000-370000,2014,2016,7,914,26,terraced,individual_heating,management_in_trust,467,203,0~5min,0-5min,5,5,12,Banwoldang,0,0,,,,,,,,,,,
362831,360000-370000,2014,2016,7,914,4,terraced,individual_heating,management_in_trust,467,203,0~5min,0-5min,5,5,12,Banwoldang,0,0,,,,,,,,,,,
314159,310000-320000,2014,2016,7,846,24,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
245575,240000-250000,2005,2016,7,743,19,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
206637,205000-210000,2005,2016,7,572,11,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
287610,280000-290000,2007,2016,7,914,31,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,,,,,,,,,,,
371681,370000-380000,2014,2016,7,914,27,terraced,individual_heating,management_in_trust,467,203,0~5min,0-5min,5,5,12,Banwoldang,0,0,,,,,,,,,,,
374336,370000-380000,2007,2016,7,1394,5,terraced,individual_heating,management_in_trust,554,524,0~5min,0-5min,3,5,10,Banwoldang,2,2,,,,,,,,,,,
255752,250000-260000,2014,2016,7,644,15,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
429203,420000-430000,2014,2016,7,1291,2,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
119469,100000-125000,1992,2016,7,576,5,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,,,,,,,,,,,
207964,205000-210000,2005,2016,7,572,20,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
244247,240000-250000,2014,2016,7,640,20,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
252212,250000-260000,2014,2016,7,640,6,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
168141,168000-185000,1993,2016,7,644,3,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,,,,,,,,,,,
344247,340000-350000,2014,2016,7,914,20,terraced,individual_heating,management_in_trust,467,203,0~5min,0-5min,5,5,12,Banwoldang,0,0,,,,,,,,,,,
172566,168000-185000,1993,2016,7,644,11,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,,,,,,,,,,,
329203,320000-330000,2014,2016,7,914,9,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
247787,240000-250000,2014,2016,7,640,14,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
242477,240000-250000,2005,2016,7,743,9,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
330088,330000-340000,2014,2016,7,914,18,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
119469,100000-125000,1992,2016,7,576,14,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,5,10,Myung-duk,7,1,,,,,,,,,,,
530973,>=480000,2007,2016,7,1519,28,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
309734,300000-310000,2007,2016,7,868,15,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
529203,>=480000,2007,2016,7,1643,41,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
326548,320000-330000,2007,2016,7,868,12,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
438053,430000-440000,2007,2016,7,1387,2,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
331858,330000-340000,2007,2016,7,868,7,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,14,16,Kyungbuk_uni_hospital,3,1,,,,,,,,,,,
273893,270000-280000,2009,2016,8,910,7,terraced,individual_heating,management_in_trust,25,203,0~5min,no_bus_stop_nearby,1,2,5,no_subway_nearby,2,1,,,,,,,,,,,
352212,350000-360000,2013,2016,8,907,15,terraced,individual_heating,management_in_trust,8,930,0~5min,0-5min,7,6,14,Kyungbuk_uni_hospital,5,1,,,,,,,,,,,
304424,300000-310000,2006,2016,8,910,20,terraced,individual_heating,management_in_trust,111,184,5min~10min,10min~15min,3,3,0,Kyungbuk_uni_hospital,2,1,,,,,,,,,,,
123008,100000-125000,1985,2016,8,587,5,corridor,individual_heating,self_management,80,76,0~5min,5min~10min,1,2,2,Daegu,5,1,,,,,,,,,,,
54867,40000-60000,2014,2016,8,135,19,corridor,individual_heating,self_management,0,218,10min~15min,5min~10min,1,4,0,no_subway_nearby,4,1,,,,,,,,,,,
60176,60000-70000,2014,2016,8,160,19,corridor,individual_heating,self_management,0,218,10min~15min,5min~10min,1,4,0,no_subway_nearby,4,1,,,,,,,,,,,
55752,40000-60000,2014,2016,8,135,14,corridor,individual_heating,self_management,0,218,10min~15min,5min~10min,1,4,0,no_subway_nearby,4,1,,,,,,,,,,,
238938,230000-240000,2014,2016,8,640,17,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
230088,230000-240000,1993,2016,8,914,19,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,,,,,,,,,,,
323008,320000-330000,2005,2016,8,1184,13,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
108407,100000-125000,2014,2016,8,288,12,corridor,individual_heating,management_in_trust,11,108,0~5min,5min~10min,1,3,0,Banwoldang,3,1,,,,,,,,,,,
464601,460000-470000,2014,2016,8,1291,8,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
333628,330000-340000,2014,2016,8,910,27,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
287610,280000-290000,2008,2016,8,829,18,terraced,individual_heating,management_in_trust,197,475,5min~10min,0-5min,6,6,14,Sin-nam,3,1,,,,,,,,,,,
326548,320000-330000,2014,2016,8,914,6,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
332743,330000-340000,2014,2016,8,914,8,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
240265,240000-250000,2014,2016,8,640,5,terraced,individual_heating,management_in_trust,90,1174,0~5min,0-5min,10,7,20,Myung-duk,7,1,,,,,,,,,,,
362831,360000-370000,2014,2016,8,914,26,terraced,individual_heating,management_in_trust,467,203,0~5min,0-5min,5,5,12,Banwoldang,0,0,,,,,,,,,,,
224336,220000-230000,2005,2016,8,743,2,mixed,individual_heating,management_in_trust,67,798,0~5min,5min~10min,8,6,0,Bangoge,5,2,,,,,,,,,,,
176991,168000-185000,1993,2016,8,644,19,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,8,20,Myung-duk,6,2,,,,,,,,,,,
